"","Accession","Latitude","Longitude","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19","offset_20","offset_21"
"26","HOR752",39.07,21.82,0.0295059124353769,0.0283196052696456,0.0251167759534932,0.0237883198387413,0.0182708907719874,0.0186743772043404,0.0234219012004753,0.0340010830300447,0.0425484173780243,0.048284927102675,0.0105984492766989,0.00620425054219938,0.0100953828169052,0.00712468550926974,0.0195533834993192,0.0184797629670596
"27","HOR3959",47.27,12.64,0.0373183034243729,0.0306023626381742,0.0302764204466247,0.0266979038440421,0.0260985844012794,0.0159933540301177,0.0149385777054452,0.0110886213691713,0.00714608752059722,0.0142405510456667,0.0164661585016172,0.00767144072572094,0.0139797315216735,0.0149681608287159,0.00739558729023606,0.0086941753800007
"28","HOR756",40.79,20.19,0.0297057472146468,0.0286253551148929,0.0293829498682011,0.0281177887845404,0.0241307571654592,0.0254505493699654,0.0218173947264571,0.0274360757857037,0.0273276254322215,0.0221369538225985,0.0104153327987149,0.0133341865466697,0.0126356177550843,0.00979015068392959,0.00959039974699358,0.0109589382178023
"29","HOR10280",26.8,13.53,0.0500414340213122,0.0492127707279348,0.0476086069072058,0.049913694240332,0.0467919108803979,0.0336878471824419,0.0178420413411511,0.00665565753416527,0.00903026229934567,0.0253488927054801,0.0389510909571958,0.0242684758678643,0.0436935989127167,0.00447629787678039,0.00352626968566902,0.00627003429412138
"30","HOR10410",52.41,21.33,0.0360986278820968,0.0400991969850223,0.0332532478274541,0.0253855624660056,0.0244037539886365,0.0207714463268616,0.0150531666730035,0.012708754787007,0.0159045240612436,0.0135581720878685,0.00639331860778567,0.00979695216913435,0.0139377102167286,0.013687907424837,0.00767041645136049,0.0173137896425911
"31","HOR9453",46.78,23.6,0.0372915167980044,0.0310277639519956,0.0292136424471959,0.0252956802086236,0.024991680196373,0.0124472125796441,0.0199105914455421,0.0138655579742233,0.0102866101568264,0.0135597523548518,0.0120604713186482,0.0115670247826669,0.0161882593296831,0.0067827987820601,0.0126335989322153,0.0106079836847109
"32","HOR8635",48.53,22.14,0.0361374050494879,0.0302990141611219,0.0292236898261901,0.0249891598109991,0.0246536785317783,0.0106499103213143,0.0191150748253986,0.0143242376590167,0.00985187970662478,0.00793943456865714,0.00453253039039663,0.00687334108171317,0.0149210679234899,0.00980504237665477,0.0074042886039678,0.0164362464664311
"33","HOR4469",32.69,36.03,0.0432957199917976,0.043234316122175,0.0354425779587309,0.0315494607857969,0.023739668025633,0.0242412719613892,0.0211286759163156,0.018082418926467,0.0143252576172655,0.0186375910301015,0.0178662646453716,0.0101896887242985,0.0112445533292807,0.012477237959651,0.015553769146512,0.013273028691403
"34","HOR902",41.29,36.33,0.0402207857289965,0.0370656039157924,0.0322229607986147,0.0267051716013923,0.0245543559814863,0.0169999279249135,0.0126255609416425,0.0119415815283652,0.0058122687732141,0.00564251379102427,0.00780643284774637,0.0108915883926407,0.00886115980586386,0.00521034577235842,0.00586280698575756,0.0106352926849739
"35","HOR7969",38,37,0.0454427992907389,0.0417217129669559,0.0383758339873798,0.0313113628394975,0.0315592170222511,0.0217665177166215,0.0146572815514141,0.0207172439459015,0.0115104417073752,0.00874794257299765,0.00947915697222635,0.0158567568879286,0.00777376486357738,0.00470432864139003,0.00447557026841423,0.0102941799330226
"36","HOR203",50.1,36.49,0.0357509072633355,0.0394085791701417,0.0328313912049066,0.0308775512792691,0.0264840490759176,0.0219464986589242,0.0165072358563026,0.0189840494230455,0.0123781640538127,0.0116369354103796,0.00999689289857787,0.0116319671483485,0.0145677698900579,0.0105138182079788,0.0079718918501123,0.0114731903050018
"37","HOR383",43.85,25.96,0.0336270653024191,0.0344316045637843,0.0315582325846194,0.0265135956227537,0.0247996107505079,0.0184016682873366,0.0190504194176343,0.0110671189766659,0.0185120659585438,0.0131780428552058,0.010521208255037,0.0117136826943125,0.00885546874632809,0.0170138761301232,0.0135866612100145,0.00913760793652509
"38","HOR396",42.31,27.77,0.0295045733952737,0.0298667096349249,0.0300660653900343,0.0255088897051839,0.0245289959207947,0.0198162368912902,0.0178943712750503,0.0192357885366434,0.0252269680789617,0.0355618838579436,0.00582518633474137,0.010148419302592,0.0071740714633626,0.0235997846620187,0.00531643106460643,0.00800854010918063
"39","HOR7380",49.52,18.83,0.035854227832112,0.0268247855760549,0.0275675771529517,0.0241025023975023,0.02277057229737,0.0156283581121677,0.016657474540525,0.0162704834187509,0.0245748149730577,0.0193244289874264,0.00536092646653955,0.0077949004774403,0.0157607397331348,0.0140070316346687,0.00772752440824299,0.0155725292560182
"40","HOR10350",8.15,36.47,0.0359042720620858,0.0404646066000985,0.0369308704072311,0.0356073496750889,0.028504751469063,0.0224194852521016,0.0180770752936138,0.0077479312496343,0.00689136768053302,0.00638761529338571,0.00656674879183086,0.00543651705930288,0.00502041292365113,0.00648971115379184,0.00278553492859251,0.00399227428182901
"41","HOR1133",46.22,2.21,0.0269356943205042,0.0252729552425081,0.0260940011946873,0.0244159053471197,0.0262622080042727,0.0193080791160427,0.0168852826871233,0.028337746613952,0.0130220735032545,0.0165024748626642,0.015046692189347,0.016709075683329,0.0163556785752057,0.0165453144323079,0.014946478888331,0.0123032286725807
"42","HOR10360",43.05,42.72,0.0397780061569969,0.0337891815851919,0.0293471252642642,0.0248947010794575,0.0176681578819895,0.0173711660150188,0.0174385047890044,0.0253911050988096,0.0159337279957996,0.0163945775951593,0.00769707980396451,0.0188316933593192,0.00955256120703704,0.0156153098080915,0.00633784340061656,0.0173872042232322
