Accession,Latitude,Longitude,Species
SEEDGWAS2266,-30.377406,-66.303177,Maize
SEEDGWAS4843,-30.377406,-66.303177,Maize
SEEDGWAS451,-30.05,-57.81666667,Maize
SEEDGWAS3609,-30,-67.5,Maize
SEEDGWAS3660,-30,-67.83333333,Maize
SEEDGWAS3205,-29.846457,-50.855959,Maize
SEEDGWAS1927,-29.846457,-50.855959,Maize
SEEDGWAS1941,-29.846457,-50.855959,Maize
SEEDGWAS1939,-29.81666667,-53.38333333,Maize
SEEDGWAS3220,-29.8,-50.5,Maize
SEEDGWAS2035,-29.8,-50.5,Maize
SEEDGWAS3954,-29.674475,-53.890233,Maize
SEEDGWAS1938,-29.639082,-54.141747,Maize
SEEDGWAS1937,-29.61666667,-53.43333333,Maize
SEEDGWAS2640,-29.503681,-67.769458,Maize
SEEDGWAS4958,-29.503681,-67.769458,Maize
SEEDGWAS3652,-29.424059,-66.796452,Maize
SEEDGWAS3203,-29.33333333,-54.16666667,Maize
SEEDGWAS3210,-29.33333333,-54.16666667,Maize
SEEDGWAS1948,-29.33333333,-54.16666667,Maize
SEEDGWAS1949,-29.33333333,-54.16666667,Maize
SEEDGWAS1950,-29.33333333,-54.16666667,Maize
SEEDGWAS1953,-29.33333333,-54.16666667,Maize
SEEDGWAS2050,-29.33333333,-54.16666667,Maize
SEEDGWAS3237,-29.33333333,-54.16666667,Maize
SEEDGWAS3959,-29.33333333,-54.16666667,Maize
SEEDGWAS1844,-29.333333,-54.166667,Maize
