Accession,Latitude,Longitude,Species
SEEDGWAS3943,29.066667,-109.233333,Maize
SEEDGWAS4243,29.2,-108.1166667,Maize
SEEDGWAS4629,29.2,-108.1166667,Maize
SEEDGWAS4661,29.2,-108.1166667,Maize
SEEDGWAS4254,29.2,-108.1166667,Maize
SEEDGWAS5166,29.2,-108.1166667,Maize
SEEDGWAS4421,29.21666667,-108.1166667,Maize
SEEDGWAS3947,29.21666667,-110.1333333,Maize
SEEDGWAS4488,29.21666667,-108.1166667,Maize
SEEDGWAS4268,29.35,-107.7,Maize
SEEDGWAS4831,29.35,-107.7,Maize
SEEDGWAS4269,29.35,-107.7,Maize
SEEDGWAS4832,29.35,-107.7,Maize
SEEDGWAS4270,29.35,-107.7,Maize
SEEDGWAS4833,29.35,-107.7,Maize
SEEDGWAS3786,29.35,-107.7,Maize
SEEDGWAS4834,29.35,-107.7,Maize
SEEDGWAS4986,29.36666667,-107.7333333,Maize
SEEDGWAS3756,29.375447,-107.74083,Maize
SEEDGWAS4662,29.375447,-107.74083,Maize
SEEDGWAS4187,29.375447,-107.74083,Maize
SEEDGWAS5164,29.375447,-107.74083,Maize
SEEDGWAS4273,29.375447,-107.74083,Maize
SEEDGWAS4851,29.375447,-107.74083,Maize
SEEDGWAS3813,29.43544,-110.367266,Maize
SEEDGWAS3818,29.43544,-110.367266,Maize
SEEDGWAS3948,29.43544,-110.367266,Maize
SEEDGWAS5305,29.43544,-110.367266,Maize
SEEDGWAS4006,29.43544,-110.367266,Maize
SEEDGWAS3803,29.799589,-109.69121,Maize
SEEDGWAS4111,30.38333333,-107.9333333,Maize
SEEDGWAS5160,30.38333333,-107.9333333,Maize
SEEDGWAS2462,30.38333333,-107.9333333,Maize
SEEDGWAS4926,30.38333333,-107.9333333,Maize
SEEDGWAS2476,30.38333333,-107.9333333,Maize
SEEDGWAS4487,30.38333333,-107.9333333,Maize
SEEDGWAS112,30.544226,-111.113435,Maize
SEEDGWAS3925,30.55,-111.1166667,Maize
SEEDGWAS3926,30.55,-111.1166667,Maize
SEEDGWAS592,30.643365,-110.95676,Maize
IRIS_313-11495,-9.82833,124.42528,Rice
IRGC_54333,-9.549722,118.989722,Rice
IRIS_313-10758,-8.87194,121.81111,Rice
IRIS_313-10776,-8.87194,121.81111,Rice
IRIS_313-10790,-8.87194,121.81111,Rice
IRIS_313-10771,-8.87194,121.81111,Rice
IRIS_313-11499,-8.8,117.78333,Rice
IRIS_313-10801,-8.65278,117.36139,Rice
IRIS_313-11497,-8.61667,117.41639,Rice
IRIS_313-11498,-8.56278,116.63611,Rice
IRIS_313-11500,-8.48306,118.54083,Rice
IRIS_313-9301,-8.48306,118.54083,Rice
IRGC_43372,-8.455,115.071667,Rice
IRIS_313-11311,-8.455,115.07167,Rice
IRIS_313-9405,-8.455,115.07167,Rice
IRIS_313-7885,-8.455,115.07167,Rice
IRIS_313-11496,-8.41528,117.23917,Rice
IRIS_313-8812,-8.2,114.36667,Rice
IRIS_313-11162,-7.99333,110.585,Rice
IRIS_313-9590,-7.53333,110.6,Rice
IRIS_313-10803,-7.5,111,Rice
IRIS_313-11394,-7.49306,112.42861,Rice
IRIS_313-11395,-7.49306,112.42861,Rice
IRIS_313-10759,-7.49306,112.42861,Rice
IRIS_313-10781,-7.49306,112.42861,Rice
IRIS_313-10785,-7.49306,112.42861,Rice
IRIS_313-10800,-7.49306,112.42861,Rice
IRIS_313-10817,-7.49306,112.42861,Rice
IRIS_313-11183,-7.49306,112.42861,Rice
IRGC_43394,-7.493056,112.428611,Rice
IRIS_313-10798,-7.37333,131.50611,Rice
IRIS_313-10690,-7.35278,109.63889,Rice
IRIS_313-10693,-7.05194,107.12639,Rice
IRIS_313-10786,-7,110.5,Rice
IRIS_313-10772,-6.96889,110.12389,Rice
IRIS_313-11177,-6.96889,110.12389,Rice
IRIS_313-10784,-6.96889,110.12389,Rice
IRIS_313-10793,-6.96889,110.12389,Rice
IRIS_313-10795,-6.96889,110.12389,Rice
IRIS_313-10808,-6.96889,110.12389,Rice
IRIS_313-10809,-6.96889,110.12389,Rice
IRIS_313-10789,-6.96889,110.12389,Rice
IRIS_313-10796,-6.96889,110.12389,Rice
IRIS_313-10774,-6.75,107.49972,Rice
IRIS_313-10775,-6.75,107.49972,Rice
IRIS_313-10777,-6.75,107.49972,Rice
IRIS_313-10782,-6.75,107.49972,Rice
IRIS_313-10791,-6.75,107.49972,Rice
IRIS_313-10810,-6.75,107.49972,Rice
IRIS_313-8744,-6.75,107.49972,Rice
IRIS_313-10819,-6.75,107.49972,Rice
IRIS_313-10820,-6.75,107.49972,Rice
IRIS_313-10821,-6.75,107.49972,Rice
IRIS_313-8368,-6.75,107.49972,Rice
IRIS_313-10811,-6.75,107.49972,Rice
IRIS_313-8314,-6.75,107.49972,Rice
IRIS_313-10761,-6.75,107.49972,Rice
IRIS_313-10766,-6.75,107.49972,Rice
IRIS_313-10783,-6.75,107.49972,Rice
IRIS_313-10788,-6.75,107.49972,Rice
IRIS_313-10802,-6.75,107.49972,Rice
IRIS_313-10765,-6.75,107.49972,Rice
IRGC_35834,-6.75,107.499722,Rice
IRIS_313-10689,-6.29694,106.19472,Rice
IRIS_313-10812,-4.94778,104.85222,Rice
IRIS_313-10767,-4.94778,104.85222,Rice
IRIS_313-10780,-4.94778,104.85222,Rice
IRIS_313-10794,-4.94778,104.85222,Rice
IRIS_313-10816,-4.94778,104.85222,Rice
IRGC_122298,-4.8133889,104.7520944,Rice
IRIS_313-10995,-4.69,119.63028,Rice
IRIS_313-10955,-4.69,119.63028,Rice
IRIS_313-11970,-4.69,119.63028,Rice
IRGC_14413,-4.69,119.630278,Rice
IRIS_313-11006,-4.66667,120.05,Rice
IRIS_313-11005,-4.66667,120.05,Rice
IRIS_313-11008,-4.25,120.16667,Rice
IRIS_313-10953,-4.06639,103.86639,Rice
IRIS_313-11001,-4,121.91667,Rice
IRIS_313-11003,-4,121.5,Rice
IRIS_313-11004,-4,121.5,Rice
IRIS_313-10799,-3.95,122.5,Rice
IRIS_313-10954,-3.88861,103.19611,Rice
IRGC_43322,-3.294722,104.141944,Rice
IRGC_43369,-3.294722,104.141944,Rice
IRIS_313-8922,-3.29472,104.14194,Rice
IRIS_313-11315,-3.29472,104.14194,Rice
IRIS_313-10936,-3.29472,104.14194,Rice
IRIS_313-10952,-3.29472,104.14194,Rice
IRIS_313-10957,-3.29472,104.14194,Rice
IRIS_313-10958,-3.29472,104.14194,Rice
IRIS_313-11313,-3.29472,104.14194,Rice
IRIS_313-10769,-3.1225,115.90472,Rice
IRIS_313-10778,-3.1225,115.90472,Rice
IRIS_313-10804,-3.1225,115.90472,Rice
IRIS_313-10813,-3.1225,115.90472,Rice
IRIS_313-9117,-3.1225,115.90472,Rice
IRIS_313-10806,-3.1225,115.90472,Rice
IRIS_313-10768,-3.1225,115.90472,Rice
IRIS_313-10787,-3.1225,115.90472,Rice
IRIS_313-11971,-3,119.75,Rice
IRIS_313-10687,-2.93861,129.88333,Rice
IRIS_313-10742,-2.69056,119.02583,Rice
IRIS_313-10824,-2.69056,119.02583,Rice
IRIS_313-10842,-2.69056,119.02583,Rice
IRIS_313-10844,-2.69056,119.02583,Rice
IRIS_313-10997,-2.69056,119.02583,Rice
IRIS_313-11000,-2.69056,119.02583,Rice
IRIS_313-11011,-2.69056,119.02583,Rice
IRIS_313-11182,-2.69056,119.02583,Rice
IRIS_313-8956,-2.69056,119.02583,Rice
IRIS_313-9320,-2.69056,119.02583,Rice
IRIS_313-9005,-2.69056,119.02583,Rice
IRIS_313-9273,-2.69056,119.02583,Rice
IRIS_313-10998,-2.69056,119.02583,Rice
IRIS_313-10741,-2.69056,119.02583,Rice
IRIS_313-10743,-2.69056,119.02583,Rice
IRIS_313-10744,-2.69056,119.02583,Rice
IRIS_313-10745,-2.69056,119.02583,Rice
IRIS_313-10746,-2.69056,119.02583,Rice
IRIS_313-10747,-2.69056,119.02583,Rice
IRIS_313-10770,-2.69056,119.02583,Rice
IRIS_313-10945,-2.69056,119.02583,Rice
IRIS_313-10946,-2.69056,119.02583,Rice
IRIS_313-10959,-2.69056,119.02583,Rice
IRIS_313-10740,-2.69056,119.02583,Rice
IRIS_313-10841,-2.69056,119.02583,Rice
IRIS_313-10950,-2.69056,119.02583,Rice
IRIS_313-9129,-2.69056,119.02583,Rice
IRIS_313-8324,-2.69056,119.02583,Rice
IRIS_313-10738,-2.69056,119.02583,Rice
IRIS_313-11012,-2.69056,119.02583,Rice
IRIS_313-10739,-2.69056,119.02583,Rice
IRGC_8260,-2.690556,119.025833,Rice
IRGC_27129,-2.690556,119.025833,Rice
IRGC_9147,-2.690556,119.025833,Rice
IRGC_8261,-2.690556,119.025833,Rice
IRGC_19972,-2.690556,119.025833,Rice
IRIS_313-11320,-2.63111,115.3525,Rice
IRIS_313-9239,-2.63111,115.3525,Rice
IRIS_313-12047,-2.5,110.08333,Rice
IRIS_313-11319,-2.45806,115.40806,Rice
IRIS_313-10937,-1.75833,102.80611,Rice
IRIS_313-12048,-1.5,110,Rice
IRIS_313-8643,-1.37556,113.29028,Rice
IRIS_313-10815,-1.37556,113.29028,Rice
IRIS_313-9242,-1.37556,113.29028,Rice
IRIS_313-10999,-1.33333,121.16667,Rice
IRGC_43400,-1.223333,100.447778,Rice
IRGC_43540,-1.223333,100.447778,Rice
IRIS_313-10822,-1.22333,100.44778,Rice
IRIS_313-10942,-1.22333,100.44778,Rice
IRIS_313-11178,-1.22333,100.44778,Rice
IRIS_313-11180,-1.22333,100.44778,Rice
IRIS_313-9208,-1.22333,100.44778,Rice
IRIS_313-10773,-1.22333,100.44778,Rice
IRIS_313-10944,-1.16972,100.45611,Rice
IRIS_313-8831,-1.16111,116.88528,Rice
IRIS_313-10996,-1,120,Rice
IRIS_313-8725,-0.83333,119.66667,Rice
IRIS_313-10943,-0.6975,103.07028,Rice
IRIS_313-11398,-0.65028,119.81389,Rice
IRIS_313-11397,-0.64861,120.06194,Rice
IRIS_313-7883,-0.5275,120.04417,Rice
IRIS_313-10692,-0.42417,100.84694,Rice
IRIS_313-10152,-0.4,116.96639,Rice
IRIS_313-8865,-0.35,116.39972,Rice
IRIS_313-12069,0.16667,111.5,Rice
IRIS_313-12046,0.5,112,Rice
IRIS_313-12045,0.5,112,Rice
IRIS_313-12068,0.5,112,Rice
IRIS_313-11717,0.56667,97.75,Rice
IRIS_313-8608,0.56667,97.75,Rice
IRIS_313-8713,0.56667,97.75,Rice
IRIS_313-9691,0.56667,97.75,Rice
IRIS_313-11010,0.67333,122.7525,Rice
IRIS_313-10762,0.70417,101.93361,Rice
IRIS_313-10779,0.70417,101.93361,Rice
IRIS_313-10797,0.70417,101.93361,Rice
IRIS_313-10818,0.70417,101.93361,Rice
IRIS_313-10823,0.70417,101.93361,Rice
IRIS_313-10961,0.70417,101.93361,Rice
IRIS_313-10962,0.70417,101.93361,Rice
IRIS_313-8436,0.70417,101.93361,Rice
IRIS_313-10960,0.70417,101.93361,Rice
IRIS_313-11007,0.78528,123.86667,Rice
IRIS_313-11312,0.86361,109.89389,Rice
IRIS_313-11316,0.86361,109.89389,Rice
IRIS_313-8536,0.86361,109.89389,Rice
IRIS_313-9251,0.86361,109.89389,Rice
IRIS_313-11314,0.86361,109.89389,Rice
IRGC_66640,0.88333,97.56667,Rice
IRIS_313-8998,0.88333,97.56667,Rice
IRIS_313-11117,1.08306,127.49972,Rice
IRIS_313-9188,1.11667,97.76667,Rice
IRIS_313-10760,1.24972,124.83306,Rice
IRIS_313-9314,1.24972,124.83306,Rice
IRIS_313-11318,1.24972,124.83306,Rice
IRIS_313-10805,1.24972,124.83306,Rice
IRIS_313-11009,1.24972,124.83306,Rice
IRIS_313-9470,1.25,97.6,Rice
IRIS_313-8664,1.25,97.6,Rice
IRIS_313-10807,1.71278,116.73917,Rice
IRIS_313-11328,1.77389,113.64528,Rice
IRIS_313-10814,1.83278,98.75694,Rice
IRIS_313-10935,1.83278,98.75694,Rice
IRIS_313-10951,1.83278,98.75694,Rice
IRIS_313-11179,1.83278,98.75694,Rice
IRIS_313-11181,1.83278,98.75694,Rice
IRIS_313-8833,1.83278,98.75694,Rice
IRIS_313-11317,1.83278,98.75694,Rice
IRIS_313-10956,1.83278,98.75694,Rice
IRGC_31,2.030278,109.6425,Rice
IRIS_313-8781,2.03028,109.6425,Rice
IRIS_313-10688,2.03028,109.6425,Rice
IRIS_313-10695,2.03028,109.6425,Rice
IRIS_313-10697,2.03028,109.6425,Rice
IRIS_313-10699,2.03028,109.6425,Rice
IRIS_313-10701,2.03028,109.6425,Rice
IRIS_313-11849,2.03028,109.6425,Rice
IRIS_313-11850,2.03028,109.6425,Rice
IRIS_313-12005,2.03028,109.6425,Rice
IRIS_313-8407,2.03028,109.6425,Rice
IRIS_313-8468,2.03028,109.6425,Rice
IRIS_313-8591,2.03028,109.6425,Rice
IRIS_313-9070,2.03028,109.6425,Rice
IRIS_313-10428,2.03028,109.6425,Rice
IRIS_313-10694,2.03028,109.6425,Rice
IRIS_313-10698,2.03028,109.6425,Rice
IRIS_313-10700,2.03028,109.6425,Rice
IRIS_313-10706,2.03028,109.6425,Rice
IRIS_313-10707,2.03028,109.6425,Rice
IRIS_313-8316,2.03028,109.6425,Rice
IRIS_313-8557,2.03028,109.6425,Rice
IRIS_313-9210,2.03028,109.6425,Rice
IRIS_313-9699,2.03028,109.6425,Rice
IRIS_313-10702,2.03028,109.6425,Rice
IRIS_313-8723,2.03028,109.6425,Rice
IRIS_313-10703,2.03028,109.6425,Rice
IRIS_313-12006,2.03028,109.6425,Rice
IRIS_313-12285,2.03028,109.6425,Rice
IRIS_313-8439,2.03028,109.6425,Rice
IRIS_313-12030,2.03028,109.6425,Rice
IRIS_313-10705,2.03028,109.6425,Rice
IRIS_313-11329,2.47583,114.28583,Rice
IRIS_313-8626,2.47583,114.28583,Rice
IRGC_44076,2.475833,114.285833,Rice
IRIS_313-9582,2.55722,113.00083,Rice
IRIS_313-12135,2.55722,113.00083,Rice
IRIS_313-12108,2.55722,113.00083,Rice
IRIS_313-12027,3,98.33333,Rice
IRIS_313-8493,3.05,97.33333,Rice
IRIS_313-10792,3.8,102.25,Rice
IRIS_313-10938,4.02694,96.62972,Rice
IRIS_313-10940,4.02694,96.62972,Rice
IRIS_313-10941,4.02694,96.62972,Rice
IRIS_313-9054,4.02694,96.62972,Rice
IRIS_313-8457,4.08333,96.36667,Rice
IRIS_313-9098,4.08333,96.25,Rice
IRIS_313-9310,4.08333,96.25,Rice
IRIS_313-9574,4.53389,114.75167,Rice
IRIS_313-11989,4.58722,114.18694,Rice
IRIS_313-11848,4.64806,115.67222,Rice
IRIS_313-9694,4.93333,115.88333,Rice
IRIS_313-12070,5,116.83333,Rice
IRIS_313-8987,5,116.1,Rice
IRIS_313-8978,5.05,95.36667,Rice
IRIS_313-9101,5.06667,116.08333,Rice
IRIS_313-10704,5.08333,116.45,Rice
IRIS_313-9050,5.1,116.05,Rice
IRIS_313-9558,5.21667,116.08333,Rice
IRIS_313-8291,5.23333,95.28333,Rice
IRIS_313-8767,5.23333,95.28333,Rice
IRIS_313-8312,5.28333,115.7,Rice
IRGC_71589,5.38333,115.43333,Rice
IRIS_313-8894,5.38333,115.41667,Rice
IRIS_313-9097,5.5,95.33333,Rice
IRIS_313-9187,5.51667,116.23333,Rice
IRIS_313-8883,5.51667,116.26667,Rice
IRIS_313-8492,5.53333,115.56667,Rice
IRIS_313-9375,5.61667,117.11667,Rice
IRGC_71494,5.63333,116.31667,Rice
IRIS_313-8811,5.71667,115.95,Rice
IRGC_71524,5.75,116.35,Rice
IRIS_313-9102,5.81667,117.43333,Rice
IRIS_313-8783,5.95,80.53306,Rice
IRGC_71528,5.96667,117.96667,Rice
IRIS_313-8279,6,116.46667,Rice
IRIS_313-10609,6.05,80.21667,Rice
IRIS_313-10715,6.05,80.21667,Rice
IRIS_313-11191,6.05,80.21667,Rice
IRIS_313-8342,6.05889,80.63194,Rice
IRGC_71598,6.11667,116.36667,Rice
IRIS_313-10684,6.2,116.23333,Rice
IRIS_313-11916,6.38528,80.04472,Rice
IRIS_313-11842,6.42889,101.82389,Rice
IRIS_313-11840,6.53972,101.28083,Rice
IRIS_313-11833,6.53972,101.28083,Rice
IRIS_313-10581,6.55,122.15,Rice
IRIS_313-10020,6.57472,80.13389,Rice
IRIS_313-10662,6.58306,79.96667,Rice
IRIS_313-11110,6.58306,79.96667,Rice
IRIS_313-9256,6.58306,79.96667,Rice
IRIS_313-9636,6.58306,79.96667,Rice
IRIS_313-11741,6.61639,80.11639,Rice
IRIS_313-11535,6.62306,100.06667,Rice
IRIS_313-10990,6.67111,121.96972,Rice
IRIS_313-8925,6.7,80.38333,Rice
IRIS_313-10722,6.7,80.38333,Rice
IRIS_313-8244,6.83194,81.01083,Rice
IRIS_313-10610,6.83194,81.01083,Rice
IRGC_8952,6.846389,80.031944,Rice
IRIS_313-10716,6.84639,80.03194,Rice
IRIS_313-9831,6.84639,80.03194,Rice
IRIS_313-9949,6.86417,81.02278,Rice
IRIS_313-10661,6.98306,81.03333,Rice
IRIS_313-11711,7.105,100.52722,Rice
IRIS_313-11913,7.10861,124.945,Rice
IRIS_313-9039,7.14889,81.50028,Rice
IRIS_313-11382,7.28306,80.63306,Rice
IRIS_313-9867,7.28306,80.63306,Rice
IRIS_313-9697,7.46667,99.68333,Rice
IRIS_313-10650,7.51556,99.80278,Rice
IRIS_313-11534,7.61556,100.07278,Rice
IRIS_313-10719,7.7,81.7,Rice
IRIS_313-9832,7.7,81.7,Rice
IRIS_313-10718,7.7,81.7,Rice
IRIS_313-10298,7.87694,80.7,Rice
IRIS_313-9917,7.87694,80.7,Rice
IRGC_26872,7.916667,125.083056,Rice
IRIS_313-11532,7.91667,125.08306,Rice
IRIS_313-11467,7.91667,125.08306,Rice
IRIS_313-8968,7.93333,81,Rice
IRGC_47383,7.93333,81,Rice
IRIS_313-11611,8.11917,99.10111,Rice
IRIS_313-10720,8.31667,80.41667,Rice
IRIS_313-10721,8.31667,80.41667,Rice
IRIS_313-8466,8.41833,99.96333,Rice
IRIS_313-11337,8.47639,123.38972,Rice
IRIS_313-11608,8.5375,99.72306,Rice
IRIS_313-11610,8.5375,99.72306,Rice
IRIS_313-8699,8.55,80.43333,Rice
IRIS_313-9970,8.56833,81.07889,Rice
IRIS_313-9969,8.56833,81.07889,Rice
IRIS_313-11464,8.585,125.80111,Rice
IRIS_313-11338,8.6175,123.48778,Rice
IRGC_51064,8.836111,80.478333,Rice
IRIS_313-9968,9.20833,80.56917,Rice
IRIS_313-12271,9.28778,118.28389,Rice
IRIS_313-11928,9.44611,118.39278,Rice
IRIS_313-11929,9.44611,118.39278,Rice
IRIS_313-10828,9.44611,118.39278,Rice
IRIS_313-10829,9.44611,118.39278,Rice
IRIS_313-10831,9.44611,118.39278,Rice
IRIS_313-10832,9.44611,118.39278,Rice
IRGC_328,9.446111,118.392778,Rice
IRIS_313-12272,9.46917,118.28972,Rice
IRIS_313-11673,9.58639,118.39139,Rice
IRIS_313-10827,9.58639,118.39139,Rice
IRIS_313-11097,9.65083,123.8525,Rice
IRIS_313-9862,9.65472,80.06417,Rice
IRIS_313-9861,9.65472,80.06417,Rice
IRIS_313-10717,9.65472,80.06417,Rice
IRIS_313-9809,9.65472,80.06417,Rice
IRIS_313-11042,9.8575,78.07472,Rice
IRIS_313-10830,9.91667,118.71667,Rice
IRIS_313-9897,9.96167,118.61889,Rice
IRIS_313-11379,10.6625,123.03611,Rice
IRIS_313-10991,10.71833,122.54889,Rice
IRIS_313-11403,10.75861,78.98389,Rice
IRIS_313-11041,10.75861,78.98389,Rice
IRIS_313-12043,10.78861,104.32167,Rice
IRIS_313-12109,10.93667,104.49472,Rice
IRIS_313-12151,11.05806,104.70694,Rice
IRIS_313-12148,11.13833,103.92722,Rice
IRIS_313-12038,11.19333,105.89194,Rice
IRIS_313-12041,11.19333,105.89194,Rice
IRIS_313-12096,11.31861,105.04778,Rice
IRGC_77530,11.33333,78.5,Rice
IRIS_313-11441,11.34944,124.46389,Rice
IRIS_313-12037,11.36444,104.10306,Rice
IRIS_313-12044,11.36444,105.45667,Rice
IRIS_313-11934,11.38889,122.62778,Rice
IRIS_313-10899,11.41,105.33139,Rice
IRIS_313-10900,11.41,105.33139,Rice
IRIS_313-10901,11.41,105.33139,Rice
IRIS_313-10908,11.41,105.33139,Rice
IRIS_313-11380,11.41444,125.14139,Rice
IRIS_313-11998,11.43056,105.7775,Rice
IRIS_313-12102,11.43056,105.7775,Rice
IRIS_313-12052,11.5,76.5,Rice
IRIS_313-9557,11.5,76.5,Rice
IRIS_313-10903,11.57611,104.28361,Rice
IRIS_313-10910,11.57611,104.28361,Rice
IRIS_313-10913,11.57611,104.28361,Rice
IRIS_313-11463,11.62667,122.31083,Rice
IRIS_313-12040,11.84972,106.11639,Rice
IRIS_313-12058,11.8825,104.66833,Rice
IRIS_313-11959,12.02,123.70861,Rice
IRIS_313-12042,12.04944,105.64333,Rice
IRIS_313-12146,12.05,106.33306,Rice
IRIS_313-12000,12.09083,105.06639,Rice
IRIS_313-11997,12.10194,105.22833,Rice
IRIS_313-12161,12.18306,106.88333,Rice
IRIS_313-12147,12.24972,105.96639,Rice
IRIS_313-10557,12.30083,104.9825,Rice
IRIS_313-10648,12.30083,104.9825,Rice
IRIS_313-11089,12.30083,104.9825,Rice
IRIS_313-11935,12.30083,104.9825,Rice
IRIS_313-11936,12.30083,104.9825,Rice
IRIS_313-11994,12.32556,121.34694,Rice
IRIS_313-12073,12.32556,121.34694,Rice
IRIS_313-11995,12.32556,121.34694,Rice
IRIS_313-12143,12.33167,105.96333,Rice
IRIS_313-11999,12.33194,105.56861,Rice
IRIS_313-11336,12.35389,121.10806,Rice
IRIS_313-12142,12.40944,106.75583,Rice
IRIS_313-12288,12.42944,98.6075,Rice
IRIS_313-12292,12.42944,98.6075,Rice
IRIS_313-9281,12.5,102.5,Rice
IRIS_313-12164,12.61333,107.48972,Rice
IRIS_313-11708,12.67556,101.27806,Rice
IRIS_313-11925,12.79778,102.16278,Rice
IRGC_44513,12.862778,121.243056,Rice
IRIS_313-10578,12.86278,121.24306,Rice
IRIS_313-10580,12.86278,121.24306,Rice
IRGC_78257,12.86667,101.86667,Rice
IRIS_313-9406,12.86667,101.86667,Rice
IRIS_313-12039,12.92222,103.12306,Rice
IRIS_313-11088,13.01722,106.10083,Rice
IRIS_313-12244,13.02944,120.77056,Rice
IRIS_313-10134,13.03944,101.49194,Rice
IRIS_313-9032,13.03944,101.49194,Rice
IRIS_313-11386,13.03944,101.49194,Rice
IRIS_313-11387,13.03944,101.49194,Rice
IRIS_313-11509,13.03944,101.49194,Rice
IRIS_313-11530,13.03944,101.49194,Rice
IRIS_313-11686,13.03944,101.49194,Rice
IRIS_313-11719,13.03944,101.49194,Rice
IRIS_313-11720,13.03944,101.49194,Rice
IRIS_313-11721,13.03944,101.49194,Rice
IRIS_313-8732,13.03944,101.49194,Rice
IRIS_313-9357,13.03944,101.49194,Rice
IRIS_313-9567,13.03944,101.49194,Rice
IRIS_313-10757,13.03944,101.49194,Rice
IRIS_313-11957,13.03944,101.49194,Rice
IRIS_313-9112,13.03944,101.49194,Rice
IRIS_313-9115,13.03944,101.49194,Rice
IRIS_313-9119,13.03944,101.49194,Rice
IRIS_313-9302,13.03944,101.49194,Rice
IRIS_313-9451,13.03944,101.49194,Rice
IRIS_313-10928,13.03944,101.49194,Rice
IRIS_313-11958,13.03944,101.49194,Rice
IRIS_313-11248,13.03944,101.49194,Rice
IRIS_313-11897,13.03944,101.49194,Rice
IRIS_313-8599,13.03944,101.49194,Rice
IRIS_313-10923,13.03944,101.49194,Rice
IRIS_313-11831,13.03944,101.49194,Rice
IRIS_313-8580,13.03944,101.49194,Rice
IRIS_313-11609,13.03944,101.49194,Rice
IRIS_313-8911,13.03944,101.49194,Rice
IRIS_313-9116,13.03944,101.49194,Rice
IRGC_24224,13.039444,101.491944,Rice
IRGC_27762,13.039444,101.491944,Rice
IRGC_30238,13.039444,101.491944,Rice
IRIS_313-10898,13.1,103.2,Rice
IRIS_313-10902,13.1,103.2,Rice
IRIS_313-10904,13.1,103.2,Rice
IRIS_313-10905,13.1,103.2,Rice
IRIS_313-10906,13.1,103.2,Rice
IRIS_313-10907,13.1,103.2,Rice
IRIS_313-10909,13.1,103.2,Rice
IRIS_313-10911,13.1,103.2,Rice
IRIS_313-10912,13.1,103.2,Rice
IRIS_313-10915,13.1,103.2,Rice
IRIS_313-11084,13.1,103.2,Rice
IRIS_313-11087,13.1,103.2,Rice
IRIS_313-12097,13.1,103.2,Rice
IRIS_313-12101,13.1,103.2,Rice
IRIS_313-9249,13.1,103.2,Rice
IRIS_313-10916,13.1,103.2,Rice
IRGC_121705,13.111389,121.047222,Rice
IRGC_8245,13.111389,121.047222,Rice
IRGC_9804,13.111389,121.047222,Rice
IRGC_3849,13.111389,121.047222,Rice
IRGC_4020,13.111389,121.047222,Rice
IRGC_8182,13.111389,121.047222,Rice
IRGC_8244,13.111389,121.047222,Rice
IRIS_313-10511,13.11139,121.04722,Rice
IRIS_313-12066,13.11139,121.04722,Rice
IRIS_313-12067,13.11139,121.04722,Rice
IRIS_313-12080,13.11139,121.04722,Rice
IRIS_313-12081,13.11139,121.04722,Rice
IRIS_313-8383,13.11139,121.04722,Rice
IRIS_313-9505,13.11139,121.04722,Rice
IRIS_313-10433,13.11139,121.04722,Rice
IRIS_313-10514,13.11139,121.04722,Rice
IRIS_313-11339,13.11139,121.04722,Rice
IRGC_5423,13.11139,121.04722,Rice
IRIS_313-10510,13.11139,121.04722,Rice
IRIS_313-10489,13.11139,121.04722,Rice
IRIS_313-12051,13.11139,121.04722,Rice
IRIS_313-8292,13.11139,121.04722,Rice
IRIS_313-11709,13.20167,101.25194,Rice
IRIS_313-8870,13.20167,101.25194,Rice
IRGC_78267,13.33333,100.96667,Rice
IRIS_313-12251,13.38667,105.08444,Rice
IRIS_313-12249,13.52861,105.04361,Rice
IRIS_313-8679,13.52889,99.81417,Rice
IRIS_313-11832,13.52889,99.81417,Rice
IRIS_313-11834,13.52889,99.81417,Rice
IRIS_313-8884,13.52889,99.81417,Rice
IRIS_313-11844,13.52889,99.81417,Rice
IRGC_27748,13.533056,100.958056,Rice
IRIS_313-11389,13.54694,100.27333,Rice
IRIS_313-11837,13.54889,101.61583,Rice
IRIS_313-11920,13.54889,101.61583,Rice
IRIS_313-12152,13.57194,102.91667,Rice
IRIS_313-12296,13.66278,98.43417,Rice
IRIS_313-12246,13.66667,104.84,Rice
IRIS_313-11465,13.69528,123.27528,Rice
IRIS_313-10992,13.69528,123.27528,Rice
IRGC_67428,13.83333,121.16667,Rice
IRGC_67431,13.83333,121.16667,Rice
IRIS_313-12036,13.85111,106.15528,Rice
IRGC_74606,13.91667,121.08333,Rice
IRIS_313-8594,13.91667,121.08333,Rice
IRIS_313-9389,14,121.08333,Rice
IRIS_313-11962,14.02056,100.52444,Rice
IRIS_313-11706,14.02056,100.52444,Rice
IRIS_313-8702,14.04778,101.3725,Rice
IRIS_313-9415,14.04778,101.3725,Rice
IRIS_313-11921,14.04778,101.3725,Rice
IRIS_313-11688,14.04778,101.3725,Rice
IRGC_23364,14.065,121.180833,Rice
IRIS_313-11836,14.21194,101.20167,Rice
IRIS_313-11841,14.21194,101.20167,Rice
IRIS_313-9616,14.25,120.75,Rice
IRIS_313-11736,14.25,120.75,Rice
IRIS_313-12247,14.31,104.90306,Rice
IRIS_313-9423,14.33333,120.83333,Rice
IRGC_67429,14.33333,120.83333,Rice
IRIS_313-11704,14.34917,100.55917,Rice
IRGC_78253,14.36667,100.53333,Rice
